replication,tau_pooled,tau_within_length,tau_score_length,tau_cvss_length
1,0.21839080459770116,0.18518518518518517,-0.19377278632539327,-0.2214546129433066
2,0.05747126436781609,0.14074074074074075,-0.3155728234442119,-0.03321819194149599
3,-0.17701149425287357,-0.08148148148148149,-0.24360007423763727,0.3155728234442119
4,-0.06666666666666667,-0.022222222222222223,-0.35432738070929054,0.038754557265078655
5,0.07586206896551724,0.05185185185185185,-0.40415466862153454,0.02214546129433066
6,0.07586206896551724,-0.022222222222222223,-0.35432738070929054,-0.1107273064716533
7,0.029885057471264367,-0.037037037037037035,-0.4263001299158652,-0.1439454984131493
8,-0.25057471264367814,-0.28888888888888886,-0.18270005567822795,-0.08858184517732264
9,-0.07586206896551724,-0.0962962962962963,-0.06090001855940932,-0.17162732503106262
10,-0.029885057471264367,-0.1259259259259259,-0.2214546129433066,0.12180003711881864
11,-0.20919540229885059,-0.18518518518518517,-0.17162732503106262,0.21038188229614127
12,0.06206896551724138,0.06666666666666667,-0.37647284200362124,-0.027681826617913324
13,-0.09425287356321839,-0.14074074074074075,-0.4927365137988572,-0.03321819194149599
14,-0.06206896551724138,-0.037037037037037035,-0.5923910896233452,0.1439454984131493
15,0.06666666666666667,0.05185185185185185,-0.3930819379743692,-0.09965457582448797
16,0.25057471264367814,0.2,-0.5425638017111012,-0.10519094114807064
17,0.2827586206896552,0.25925925925925924,-0.17162732503106262,0.14948186373673195
18,0.07586206896551724,0.05185185185185185,-0.34325465006212524,-0.14948186373673195
19,-0.135632183908046,-0.18518518518518517,-0.3930819379743692,0.0
20,-0.04367816091954023,-0.037037037037037035,-0.26020917020838524,-0.15501822906031462
21,0.09425287356321839,0.08148148148148149,-0.2214546129433066,-0.09411821050090531
22,0.21839080459770116,0.2740740740740741,-0.34325465006212524,0.11626367179523596
23,0.04367816091954023,0.18518518518518517,-0.26574553553196795,0.2048455169725586
24,-0.12643678160919541,-0.05185185185185185,-0.2048455169725586,0.005536365323582665
25,0.08505747126436781,0.007407407407407408,-0.3820092073272039,-0.10519094114807064
26,0.02528735632183908,-0.1259259259259259,-0.37647284200362124,-0.26574553553196795
27,-0.09885057471264368,-0.08148148148148149,-0.3155728234442119,0.10519094114807064
28,-0.08045977011494253,-0.0962962962962963,-0.22699097826688927,-0.08858184517732264
29,0.029885057471264367,0.007407407407407408,-0.1107273064716533,0.09965457582448797
30,0.14022988505747128,0.18518518518518517,-0.4429092258866132,0.08858184517732264
31,0.07126436781609195,0.06666666666666667,-0.33771828473854254,0.13287276776598397
32,-0.08045977011494253,0.022222222222222223,-0.5370274363875185,0.2214546129433066
33,-0.09885057471264368,-0.08148148148148149,-0.09411821050090531,-0.2380637089140546
34,0.08045977011494253,0.022222222222222223,-0.46505468718094384,-0.05536365323582665
35,-0.0896551724137931,-0.17037037037037037,0.005536365323582665,0.06090001855940932
36,0.0022988505747126436,0.1111111111111111,-0.31003645812062924,0.21591824761972395
37,0.11264367816091954,0.24444444444444444,-0.40415466862153454,0.17162732503106262
38,0.19540229885057472,0.25925925925925924,-0.4429092258866132,-0.06090001855940932
39,-0.07126436781609195,-0.037037037037037035,-0.1439454984131493,0.005536365323582665
40,0.08505747126436781,0.18518518518518517,-0.32664555409137724,0.19377278632539327
41,0.09425287356321839,-0.05185185185185185,-0.5148819750931879,-0.14948186373673195
42,0.06666666666666667,0.037037037037037035,-0.19930915164897595,-0.1107273064716533
43,0.05747126436781609,0.08148148148148149,-0.22699097826688927,0.0
44,0.034482758620689655,0.05185185185185185,-0.48720014847527454,-0.07750911453015731
45,0.011494252873563218,0.007407407407407408,-0.4595183218573612,0.038754557265078655
46,0.0896551724137931,0.06666666666666667,-0.37093647668003854,-0.04429092258866132
47,0.11724137931034483,0.05185185185185185,-0.40415466862153454,-0.1273364024424013
48,0.08505747126436781,0.15555555555555556,-0.3155728234442119,0.10519094114807064
49,0.11264367816091954,0.1111111111111111,-0.08304547985373997,0.05536365323582665
50,-0.0022988505747126436,-0.08148148148148149,-0.4429092258866132,-0.2380637089140546
51,-0.1724137931034483,-0.1111111111111111,-0.21038188229614127,0.12180003711881864
52,-0.14022988505747128,-0.17037037037037037,0.27681826617913324,-0.038754557265078655
53,0.09425287356321839,0.21481481481481482,-0.37647284200362124,-0.01107273064716533
54,-0.04827586206896552,-0.05185185185185185,-0.24913643956121992,0.02214546129433066
55,-0.06206896551724138,-0.007407407407407408,-0.27681826617913324,0.06090001855940932
56,-0.029885057471264367,-0.14074074074074075,-0.24913643956121992,-0.15501822906031462
57,-0.18620689655172415,-0.08148148148148149,-0.14948186373673195,0.15501822906031462
58,-0.04827586206896552,-0.2,-0.3930819379743692,-0.17716369035464527
59,0.06206896551724138,-0.1259259259259259,-0.6975820307714158,-0.24360007423763727
60,0.11724137931034483,0.1111111111111111,-0.5536365323582665,-0.18823642100181062
61,0.0022988505747126436,0.022222222222222223,-0.37647284200362124,-0.14948186373673195
62,-0.016091954022988506,0.022222222222222223,-0.33771828473854254,0.0
63,0.016091954022988506,-0.037037037037037035,-0.3986183032979519,-0.09965457582448797
64,-0.052873563218390804,-0.037037037037037035,-0.46505468718094384,0.09411821050090531
65,-0.05747126436781609,-0.22962962962962963,-0.3321819194149599,-0.2712819008555506
66,0.02528735632183908,-0.05185185185185185,-0.32664555409137724,-0.1439454984131493
67,0.09885057471264368,0.037037037037037035,-0.19930915164897595,-0.1273364024424013
68,-0.10804597701149425,-0.2,-0.06090001855940932,0.04982728791224399
69,-0.020689655172413793,0.007407407407407408,-0.27681826617913324,-0.04982728791224399
70,-0.05747126436781609,-0.022222222222222223,-0.27681826617913324,0.1273364024424013
71,0.14022988505747128,0.25925925925925924,-0.24360007423763727,0.21591824761972395
72,0.06666666666666667,-0.037037037037037035,-0.35432738070929054,-0.19377278632539327
73,-0.35172413793103446,-0.2740740740740741,-0.4263001299158652,0.32664555409137724
